t	n	p	v	i
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,78E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,92E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,52E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,24E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,94E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,39E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,17E-01
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,79E-03
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,39E-03
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,02E-03
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,27E-02
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,23E-02
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,87E-02
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,05E+00
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,60E+00
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,33E+00
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,61E-02
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,00E-02
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,78E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,92E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,52E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,24E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,94E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,39E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,17E-01
25	1	VDDO_PAD_3_3V_IDDQ3V3_-8	4,50E+00	3,71E-03
25	1	VDDO_PAD_3_3V_IDDQ3V3_-8	5,00E+00	9,71E-03
25	1	VDDO_PAD_3_3V_IDDQ3V3_-8	5,50E+00	2,41E-02
25	1	VDDR_PAD_3_3V_IDDQ3V3_-8	4,50E+00	-1,73E-05
25	1	VDDR_PAD_3_3V_IDDQ3V3_-8	5,00E+00	5,18E-04
25	1	VDDR_PAD_3_3V_IDDQ3V3_-8	5,50E+00	1,02E-03
25	1	Freq_PROCMONDCELLS	1,00E+00	NaN
25	1	Freq_PROCMONDCELLS	1,10E+00	NaN
25	1	Freq_PROCMONDCELLS	1,20E+00	NaN
25	1	Freq_PROCMONDCELLS	1,30E+00	3,25E+00
25	1	Freq_PROCMONDCELLS	1,40E+00	3,89E+00
25	1	Freq_PROCMONDCELLS	1,50E+00	4,54E+00
25	1	Freq_PROCMONDCELLS	1,60E+00	5,16E+00
25	1	Freq_PROCMONDCELLS	1,70E+00	5,77E+00
25	1	Freq_PROCMONDCELLS	1,80E+00	6,36E+00
25	1	Freq_PROCMONDCELLS	1,90E+00	6,92E+00
25	1	Freq_PROCMONDCELLS	2,00E+00	7,47E+00
25	1	Pulse1_PROCMONDCELLS	1,00E+00	NaN
25	1	Pulse1_PROCMONDCELLS	1,10E+00	NaN
25	1	Pulse1_PROCMONDCELLS	1,20E+00	4,18E+02
25	1	Pulse1_PROCMONDCELLS	1,30E+00	1,98E+02
25	1	Pulse1_PROCMONDCELLS	1,40E+00	1,58E+02
25	1	Pulse1_PROCMONDCELLS	1,50E+00	1,33E+02
25	1	Pulse1_PROCMONDCELLS	1,60E+00	1,15E+02
25	1	Pulse1_PROCMONDCELLS	1,70E+00	1,03E+02
25	1	Pulse1_PROCMONDCELLS	1,80E+00	9,20E+01
25	1	Pulse1_PROCMONDCELLS	1,90E+00	8,42E+01
25	1	Pulse1_PROCMONDCELLS	2,00E+00	7,73E+01
25	1	Pulse2_PROCMONDCELLS	1,00E+00	NaN
25	1	Pulse2_PROCMONDCELLS	1,10E+00	NaN
25	1	Pulse2_PROCMONDCELLS	1,20E+00	3,43E+02
25	1	Pulse2_PROCMONDCELLS	1,30E+00	1,37E+02
25	1	Pulse2_PROCMONDCELLS	1,40E+00	1,09E+02
25	1	Pulse2_PROCMONDCELLS	1,50E+00	9,24E+01
25	1	Pulse2_PROCMONDCELLS	1,60E+00	8,05E+01
25	1	Pulse2_PROCMONDCELLS	1,70E+00	7,19E+01
25	1	Pulse2_PROCMONDCELLS	1,80E+00	6,46E+01
25	1	Pulse2_PROCMONDCELLS	1,90E+00	5,96E+01
25	1	Pulse2_PROCMONDCELLS	2,00E+00	5,55E+01
25	1	Freq_PROCMONDCELLSLL	1,00E+00	NaN
25	1	Freq_PROCMONDCELLSLL	1,10E+00	NaN
25	1	Freq_PROCMONDCELLSLL	1,20E+00	1,84E+00
25	1	Freq_PROCMONDCELLSLL	1,30E+00	2,30E+00
25	1	Freq_PROCMONDCELLSLL	1,40E+00	2,79E+00
25	1	Freq_PROCMONDCELLSLL	1,50E+00	3,28E+00
25	1	Freq_PROCMONDCELLSLL	1,60E+00	3,76E+00
25	1	Freq_PROCMONDCELLSLL	1,70E+00	4,23E+00
25	1	Freq_PROCMONDCELLSLL	1,80E+00	4,69E+00
25	1	Freq_PROCMONDCELLSLL	1,90E+00	5,14E+00
25	1	Freq_PROCMONDCELLSLL	2,00E+00	5,57E+00
25	1	Pulse1_PROCMONDCELLSLL	1,00E+00	NaN
25	1	Pulse1_PROCMONDCELLSLL	1,10E+00	NaN
25	1	Pulse1_PROCMONDCELLSLL	1,20E+00	9,16E+02
25	1	Pulse1_PROCMONDCELLSLL	1,30E+00	2,72E+02
25	1	Pulse1_PROCMONDCELLSLL	1,40E+00	2,18E+02
25	1	Pulse1_PROCMONDCELLSLL	1,50E+00	1,83E+02
25	1	Pulse1_PROCMONDCELLSLL	1,60E+00	1,58E+02
25	1	Pulse1_PROCMONDCELLSLL	1,70E+00	1,39E+02
25	1	Pulse1_PROCMONDCELLSLL	1,80E+00	1,24E+02
25	1	Pulse1_PROCMONDCELLSLL	1,90E+00	1,13E+02
25	1	Pulse1_PROCMONDCELLSLL	2,00E+00	1,04E+02
25	1	Pulse2_PROCMONDCELLSLL	1,00E+00	NaN
25	1	Pulse2_PROCMONDCELLSLL	1,10E+00	NaN
25	1	Pulse2_PROCMONDCELLSLL	1,20E+00	6,63E+02
25	1	Pulse2_PROCMONDCELLSLL	1,30E+00	1,94E+02
25	1	Pulse2_PROCMONDCELLSLL	1,40E+00	1,54E+02
25	1	Pulse2_PROCMONDCELLSLL	1,50E+00	1,30E+02
25	1	Pulse2_PROCMONDCELLSLL	1,60E+00	1,12E+02
25	1	Pulse2_PROCMONDCELLSLL	1,70E+00	9,96E+01
25	1	Pulse2_PROCMONDCELLSLL	1,80E+00	9,00E+01
25	1	Pulse2_PROCMONDCELLSLL	1,90E+00	8,18E+01
25	1	Pulse2_PROCMONDCELLSLL	2,00E+00	7,52E+01
25	1	IOTEST	1,19E+00	1,19E+00
25	1	NANDTREE	1,18E+00	1,18E+00
25	1	LOGIC1	1,26E+00	1,26E+00
25	1	LOGIC2	1,26E+00	1,26E+00
25	1	LOGIC3	1,26E+00	1,26E+00
25	1	LOGIC4	1,26E+00	1,26E+00
25	1	LIFETEST	1,24E+00	1,24E+00
25	1	ROM8KX64DATA	1,20E+00	1,20E+00
25	1	ROM8KX64READ	1,20E+00	1,20E+00
25	1	SPRAMB2KX18DATA	1,20E+00	1,20E+00
25	1	SPRAMB2KX18MARCHC	1,20E+00	1,20E+00
25	1	SPRAMB2KX18MARCHCNEW	1,20E+00	1,20E+00
25	1	DPRAM4KX64DATA	1,26E+00	1,26E+00
25	1	DPRAM4KX64MARCHC	1,24E+00	1,24E+00
25	1	PUPD	1,20E+00	1,20E+00
25	3	VDD_PAD_1_8V_IDDQ1V8_-8	1,62E+00	3,35E-03
25	3	VDD_PAD_1_8V_IDDQ1V8_-8	1,80E+00	3,44E-03
25	3	VDD_PAD_1_8V_IDDQ1V8_-8	1,98E+00	4,02E-03
25	3	VDD!_IDDQ1V8_-8	1,62E+00	4,11E-02
25	3	VDD!_IDDQ1V8_-8	1,80E+00	4,99E-02
25	3	VDD!_IDDQ1V8_-8	1,98E+00	6,55E-02
25	3	VDD_DPRAM4KX64_IDDQ1V8_-8	1,62E+00	3,18E+00
25	3	VDD_DPRAM4KX64_IDDQ1V8_-8	1,80E+00	3,77E+00
25	3	VDD_DPRAM4KX64_IDDQ1V8_-8	1,98E+00	4,52E+00
25	3	VDD_ROM8KX64_IDDQ1V8_-8	1,62E+00	1,75E-02
25	3	VDD_ROM8KX64_IDDQ1V8_-8	1,80E+00	2,13E-02
25	3	VDD_ROM8KX64_IDDQ1V8_-8	1,98E+00	2,92E-02
25	3	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,62E+00	7,93E-02
25	3	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,80E+00	9,43E-02
25	3	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,98E+00	1,20E-01
25	3	VDD!_SEP_IDDQ1V8_-8	1,62E+00	2,09E-01
25	3	VDD!_SEP_IDDQ1V8_-8	1,80E+00	2,56E-01
25	3	VDD!_SEP_IDDQ1V8_-8	1,98E+00	3,36E-01
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,06E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,66E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,30E-03
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,42E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,37E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,99E-02
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,18E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,77E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,52E+00
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,74E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,13E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,92E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,69E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,03E-01
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,30E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,06E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,52E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,29E-01
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,05E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,50E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,18E-03
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,42E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,37E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,98E-02
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,19E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,77E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,53E+00
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,73E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,14E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,92E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,70E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,03E-01
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,30E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,06E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,52E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,29E-01
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,10E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,47E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,26E-03
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,41E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,36E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,99E-02
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,19E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,77E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,53E+00
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,73E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,13E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,91E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,71E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,03E-01
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,29E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,07E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,52E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,30E-01
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,09E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,24E-03
25	3	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,19E-03
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,43E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,35E-02
25	3	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,99E-02
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,20E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,78E+00
25	3	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,52E+00
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,73E-02
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,14E-02
