t	n	p	v	i
25	32	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,47E-01
25	32	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,31E-03
25	32	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,68E-03
25	32	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,25E-03
25	32	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,79E-02
25	32	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,29E-02
25	32	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,31E-02
25	32	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,03E+00
25	32	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,21E+00
25	32	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,48E+00
25	32	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,78E-03
25	32	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,14E-02
25	32	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,73E-02
25	32	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,20E-02
25	32	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,11E-02
25	32	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,91E-02
25	32	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,75E-02
25	32	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,00E-01
25	32	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,47E-01
25	32	VDDO_PAD_3_3V_IDDQ3V3_-8	4,50E+00	3,59E-03
25	32	VDDO_PAD_3_3V_IDDQ3V3_-8	5,00E+00	9,14E-03
25	32	VDDO_PAD_3_3V_IDDQ3V3_-8	5,50E+00	2,36E-02
25	32	VDDR_PAD_3_3V_IDDQ3V3_-8	4,50E+00	9,68E-05
25	32	VDDR_PAD_3_3V_IDDQ3V3_-8	5,00E+00	2,89E-04
25	32	VDDR_PAD_3_3V_IDDQ3V3_-8	5,50E+00	8,81E-04
25	32	Freq_PROCMONDCELLS	1,00E+00	NaN
25	32	Freq_PROCMONDCELLS	1,10E+00	NaN
25	32	Freq_PROCMONDCELLS	1,20E+00	NaN
25	32	Freq_PROCMONDCELLS	1,30E+00	2,80E+00
25	32	Freq_PROCMONDCELLS	1,40E+00	3,38E+00
25	32	Freq_PROCMONDCELLS	1,50E+00	3,96E+00
25	32	Freq_PROCMONDCELLS	1,60E+00	4,53E+00
25	32	Freq_PROCMONDCELLS	1,70E+00	5,09E+00
25	32	Freq_PROCMONDCELLS	1,80E+00	5,63E+00
25	32	Freq_PROCMONDCELLS	1,90E+00	6,15E+00
25	32	Freq_PROCMONDCELLS	2,00E+00	6,64E+00
25	32	Pulse1_PROCMONDCELLS	1,00E+00	NaN
25	32	Pulse1_PROCMONDCELLS	1,10E+00	NaN
25	32	Pulse1_PROCMONDCELLS	1,20E+00	NaN
25	32	Pulse1_PROCMONDCELLS	1,30E+00	2,44E+02
25	32	Pulse1_PROCMONDCELLS	1,40E+00	1,86E+02
25	32	Pulse1_PROCMONDCELLS	1,50E+00	1,55E+02
25	32	Pulse1_PROCMONDCELLS	1,60E+00	1,34E+02
25	32	Pulse1_PROCMONDCELLS	1,70E+00	1,17E+02
25	32	Pulse1_PROCMONDCELLS	1,80E+00	1,05E+02
25	32	Pulse1_PROCMONDCELLS	1,90E+00	9,55E+01
25	32	Pulse1_PROCMONDCELLS	2,00E+00	8,83E+01
25	32	Pulse2_PROCMONDCELLS	1,00E+00	NaN
25	32	Pulse2_PROCMONDCELLS	1,10E+00	NaN
25	32	Pulse2_PROCMONDCELLS	1,20E+00	NaN
25	32	Pulse2_PROCMONDCELLS	1,30E+00	1,71E+02
25	32	Pulse2_PROCMONDCELLS	1,40E+00	1,27E+02
25	32	Pulse2_PROCMONDCELLS	1,50E+00	1,06E+02
25	32	Pulse2_PROCMONDCELLS	1,60E+00	9,20E+01
25	32	Pulse2_PROCMONDCELLS	1,70E+00	8,14E+01
25	32	Pulse2_PROCMONDCELLS	1,80E+00	7,36E+01
25	32	Pulse2_PROCMONDCELLS	1,90E+00	6,72E+01
25	32	Pulse2_PROCMONDCELLS	2,00E+00	6,23E+01
25	32	Freq_PROCMONDCELLSLL	1,00E+00	NaN
25	32	Freq_PROCMONDCELLSLL	1,10E+00	NaN
25	32	Freq_PROCMONDCELLSLL	1,20E+00	NaN
25	32	Freq_PROCMONDCELLSLL	1,30E+00	2,05E+00
25	32	Freq_PROCMONDCELLSLL	1,40E+00	2,49E+00
25	32	Freq_PROCMONDCELLSLL	1,50E+00	2,94E+00
25	32	Freq_PROCMONDCELLSLL	1,60E+00	3,39E+00
25	32	Freq_PROCMONDCELLSLL	1,70E+00	3,82E+00
25	32	Freq_PROCMONDCELLSLL	1,80E+00	4,25E+00
25	32	Freq_PROCMONDCELLSLL	1,90E+00	4,66E+00
25	32	Freq_PROCMONDCELLSLL	2,00E+00	5,06E+00
25	32	Pulse1_PROCMONDCELLSLL	1,00E+00	NaN
25	32	Pulse1_PROCMONDCELLSLL	1,10E+00	NaN
25	32	Pulse1_PROCMONDCELLSLL	1,20E+00	NaN
25	32	Pulse1_PROCMONDCELLSLL	1,30E+00	3,19E+02
25	32	Pulse1_PROCMONDCELLSLL	1,40E+00	2,46E+02
25	32	Pulse1_PROCMONDCELLSLL	1,50E+00	2,05E+02
25	32	Pulse1_PROCMONDCELLSLL	1,60E+00	1,76E+02
25	32	Pulse1_PROCMONDCELLSLL	1,70E+00	1,55E+02
25	32	Pulse1_PROCMONDCELLSLL	1,80E+00	1,38E+02
25	32	Pulse1_PROCMONDCELLSLL	1,90E+00	1,25E+02
25	32	Pulse1_PROCMONDCELLSLL	2,00E+00	1,15E+02
25	32	Pulse2_PROCMONDCELLSLL	1,00E+00	NaN
25	32	Pulse2_PROCMONDCELLSLL	1,10E+00	NaN
25	32	Pulse2_PROCMONDCELLSLL	1,20E+00	NaN
25	32	Pulse2_PROCMONDCELLSLL	1,30E+00	2,30E+02
25	32	Pulse2_PROCMONDCELLSLL	1,40E+00	1,75E+02
25	32	Pulse2_PROCMONDCELLSLL	1,50E+00	1,46E+02
25	32	Pulse2_PROCMONDCELLSLL	1,60E+00	1,26E+02
25	32	Pulse2_PROCMONDCELLSLL	1,70E+00	1,11E+02
25	32	Pulse2_PROCMONDCELLSLL	1,80E+00	9,92E+01
25	32	Pulse2_PROCMONDCELLSLL	1,90E+00	9,06E+01
25	32	Pulse2_PROCMONDCELLSLL	2,00E+00	8,34E+01
25	32	IOTEST	1,24E+00	1,24E+00
25	32	NANDTREE	1,22E+00	1,22E+00
25	32	LOGIC1	1,29E+00	1,29E+00
25	32	LOGIC2	1,29E+00	1,29E+00
25	32	LOGIC3	1,29E+00	1,29E+00
25	32	LOGIC4	1,29E+00	1,29E+00
25	32	LIFETEST	1,27E+00	1,27E+00
25	32	ROM8KX64DATA	1,24E+00	1,24E+00
25	32	ROM8KX64READ	1,24E+00	1,24E+00
25	32	SPRAMB2KX18DATA	1,24E+00	1,24E+00
25	32	SPRAMB2KX18MARCHC	1,24E+00	1,24E+00
25	32	SPRAMB2KX18MARCHCNEW	1,24E+00	1,24E+00
25	32	DPRAM4KX64DATA	1,29E+00	1,29E+00
25	32	DPRAM4KX64MARCHC	1,28E+00	1,28E+00
25	32	PUPD	1,26E+00	1,26E+00
25	33	VDD_PAD_1_8V_IDDQ1V8_-8	1,62E+00	2,58E-03
25	33	VDD_PAD_1_8V_IDDQ1V8_-8	1,80E+00	2,73E-03
25	33	VDD_PAD_1_8V_IDDQ1V8_-8	1,98E+00	3,34E-03
25	33	VDD!_IDDQ1V8_-8	1,62E+00	1,51E-02
25	33	VDD!_IDDQ1V8_-8	1,80E+00	1,96E-02
25	33	VDD!_IDDQ1V8_-8	1,98E+00	2,92E-02
25	33	VDD_DPRAM4KX64_IDDQ1V8_-8	1,62E+00	8,00E-01
25	33	VDD_DPRAM4KX64_IDDQ1V8_-8	1,80E+00	9,38E-01
25	33	VDD_DPRAM4KX64_IDDQ1V8_-8	1,98E+00	1,17E+00
25	33	VDD_ROM8KX64_IDDQ1V8_-8	1,62E+00	8,42E-03
25	33	VDD_ROM8KX64_IDDQ1V8_-8	1,80E+00	1,10E-02
25	33	VDD_ROM8KX64_IDDQ1V8_-8	1,98E+00	1,67E-02
25	33	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,62E+00	3,29E-02
25	33	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,80E+00	4,12E-02
25	33	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,98E+00	5,77E-02
25	33	VDD!_SEP_IDDQ1V8_-8	1,62E+00	6,96E-02
25	33	VDD!_SEP_IDDQ1V8_-8	1,80E+00	9,17E-02
25	33	VDD!_SEP_IDDQ1V8_-8	1,98E+00	1,39E-01
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,35E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,74E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,34E-03
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,57E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,04E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,02E-02
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,06E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,46E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,16E+00
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,41E-03
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,11E-02
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,68E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,79E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,68E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,45E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	6,80E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	8,94E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,35E-01
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,36E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,71E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,10E-03
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,56E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,03E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,00E-02
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,02E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,48E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,17E+00
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,43E-03
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,10E-02
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,67E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,79E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,66E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,43E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	6,81E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	8,92E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,34E-01
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,35E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,58E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,24E-03
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,57E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,03E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,01E-02
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,10E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,39E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,16E+00
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,37E-03
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,10E-02
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,67E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,79E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,68E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,44E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	6,81E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	8,93E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,34E-01
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,38E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,66E-03
25	33	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,22E-03
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,57E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,03E-02
25	33	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,01E-02
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,02E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,35E-01
25	33	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,17E+00
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,41E-03
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,10E-02
25	33	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,67E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,80E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,68E-02
25	33	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,44E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	6,80E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	8,93E-02
25	33	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,35E-01
25	33	VDDO_PAD_3_3V_IDDQ3V3_-8	4,50E+00	3,73E-03
25	33	VDDO_PAD_3_3V_IDDQ3V3_-8	5,00E+00	9,27E-03
25	33	VDDO_PAD_3_3V_IDDQ3V3_-8	5,50E+00	2,42E-02
25	33	VDDR_PAD_3_3V_IDDQ3V3_-8	4,50E+00	1,51E-04
25	33	VDDR_PAD_3_3V_IDDQ3V3_-8	5,00E+00	4,90E-04
25	33	VDDR_PAD_3_3V_IDDQ3V3_-8	5,50E+00	8,04E-04
25	33	Freq_PROCMONDCELLS	1,00E+00	NaN
25	33	Freq_PROCMONDCELLS	1,10E+00	NaN
25	33	Freq_PROCMONDCELLS	1,20E+00	NaN
25	33	Freq_PROCMONDCELLS	1,30E+00	2,74E+00
25	33	Freq_PROCMONDCELLS	1,40E+00	3,31E+00
25	33	Freq_PROCMONDCELLS	1,50E+00	3,88E+00
25	33	Freq_PROCMONDCELLS	1,60E+00	4,44E+00
25	33	Freq_PROCMONDCELLS	1,70E+00	4,99E+00
25	33	Freq_PROCMONDCELLS	1,80E+00	5,52E+00
25	33	Freq_PROCMONDCELLS	1,90E+00	6,03E+00
25	33	Freq_PROCMONDCELLS	2,00E+00	6,52E+00
25	33	Pulse1_PROCMONDCELLS	1,00E+00	NaN
25	33	Pulse1_PROCMONDCELLS	1,10E+00	NaN
25	33	Pulse1_PROCMONDCELLS	1,20E+00	NaN
25	33	Pulse1_PROCMONDCELLS	1,30E+00	2,49E+02
25	33	Pulse1_PROCMONDCELLS	1,40E+00	1,89E+02
25	33	Pulse1_PROCMONDCELLS	1,50E+00	1,57E+02
25	33	Pulse1_PROCMONDCELLS	1,60E+00	1,36E+02
25	33	Pulse1_PROCMONDCELLS	1,70E+00	1,20E+02
25	33	Pulse1_PROCMONDCELLS	1,80E+00	1,07E+02
25	33	Pulse1_PROCMONDCELLS	1,90E+00	9,75E+01
25	33	Pulse1_PROCMONDCELLS	2,00E+00	8,93E+01
25	33	Pulse2_PROCMONDCELLS	1,00E+00	NaN
25	33	Pulse2_PROCMONDCELLS	1,10E+00	NaN
25	33	Pulse2_PROCMONDCELLS	1,20E+00	NaN
25	33	Pulse2_PROCMONDCELLS	1,30E+00	1,76E+02
25	33	Pulse2_PROCMONDCELLS	1,40E+00	1,29E+02
25	33	Pulse2_PROCMONDCELLS	1,50E+00	1,08E+02
25	33	Pulse2_PROCMONDCELLS	1,60E+00	9,38E+01
25	33	Pulse2_PROCMONDCELLS	1,70E+00	8,32E+01
25	33	Pulse2_PROCMONDCELLS	1,80E+00	7,52E+01
25	33	Pulse2_PROCMONDCELLS	1,90E+00	6,87E+01
25	33	Pulse2_PROCMONDCELLS	2,00E+00	6,33E+01
25	33	Freq_PROCMONDCELLSLL	1,00E+00	NaN
25	33	Freq_PROCMONDCELLSLL	1,10E+00	NaN
25	33	Freq_PROCMONDCELLSLL	1,20E+00	NaN
25	33	Freq_PROCMONDCELLSLL	1,30E+00	2,02E+00
25	33	Freq_PROCMONDCELLSLL	1,40E+00	2,46E+00
25	33	Freq_PROCMONDCELLSLL	1,50E+00	2,90E+00
25	33	Freq_PROCMONDCELLSLL	1,60E+00	3,34E+00
25	33	Freq_PROCMONDCELLSLL	1,70E+00	3,77E+00
25	33	Freq_PROCMONDCELLSLL	1,80E+00	4,19E+00
25	33	Freq_PROCMONDCELLSLL	1,90E+00	4,60E+00
25	33	Freq_PROCMONDCELLSLL	2,00E+00	5,00E+00
25	33	Pulse1_PROCMONDCELLSLL	1,00E+00	NaN
25	33	Pulse1_PROCMONDCELLSLL	1,10E+00	NaN
25	33	Pulse1_PROCMONDCELLSLL	1,20E+00	NaN
25	33	Pulse1_PROCMONDCELLSLL	1,30E+00	3,25E+02
25	33	Pulse1_PROCMONDCELLSLL	1,40E+00	2,49E+02
25	33	Pulse1_PROCMONDCELLSLL	1,50E+00	2,08E+02
25	33	Pulse1_PROCMONDCELLSLL	1,60E+00	1,79E+02
25	33	Pulse1_PROCMONDCELLSLL	1,70E+00	1,57E+02
25	33	Pulse1_PROCMONDCELLSLL	1,80E+00	1,41E+02
25	33	Pulse1_PROCMONDCELLSLL	1,90E+00	1,27E+02
25	33	Pulse1_PROCMONDCELLSLL	2,00E+00	1,16E+02
25	33	Pulse2_PROCMONDCELLSLL	1,00E+00	NaN
25	33	Pulse2_PROCMONDCELLSLL	1,10E+00	NaN
25	33	Pulse2_PROCMONDCELLSLL	1,20E+00	NaN
25	33	Pulse2_PROCMONDCELLSLL	1,30E+00	2,35E+02
25	33	Pulse2_PROCMONDCELLSLL	1,40E+00	1,78E+02
25	33	Pulse2_PROCMONDCELLSLL	1,50E+00	1,47E+02
25	33	Pulse2_PROCMONDCELLSLL	1,60E+00	1,27E+02
25	33	Pulse2_PROCMONDCELLSLL	1,70E+00	1,12E+02
25	33	Pulse2_PROCMONDCELLSLL	1,80E+00	1,01E+02
25	33	Pulse2_PROCMONDCELLSLL	1,90E+00	9,16E+01
25	33	Pulse2_PROCMONDCELLSLL	2,00E+00	8,48E+01
25	33	IOTEST	1,24E+00	1,24E+00
25	33	NANDTREE	1,23E+00	1,23E+00
25	33	LOGIC1	1,30E+00	1,30E+00
25	33	LOGIC2	1,30E+00	1,30E+00
25	33	LOGIC3	1,30E+00	1,30E+00
25	33	LOGIC4	1,30E+00	1,30E+00
25	33	LIFETEST	1,29E+00	1,29E+00
25	33	ROM8KX64DATA	1,24E+00	1,24E+00
25	33	ROM8KX64READ	1,24E+00	1,24E+00
25	33	SPRAMB2KX18DATA	1,24E+00	1,24E+00
25	33	SPRAMB2KX18MARCHC	1,24E+00	1,24E+00
25	33	SPRAMB2KX18MARCHCNEW	1,24E+00	1,24E+00
25	33	DPRAM4KX64DATA	1,30E+00	1,30E+00
25	33	DPRAM4KX64MARCHC	1,28E+00	1,28E+00
25	33	PUPD	1,27E+00	1,27E+00
25	34	VDD_PAD_1_8V_IDDQ1V8_-8	1,62E+00	2,81E-03
25	34	VDD_PAD_1_8V_IDDQ1V8_-8	1,80E+00	2,90E-03
25	34	VDD_PAD_1_8V_IDDQ1V8_-8	1,98E+00	3,30E-03
25	34	VDD!_IDDQ1V8_-8	1,62E+00	1,55E-02
25	34	VDD!_IDDQ1V8_-8	1,80E+00	1,99E-02
25	34	VDD!_IDDQ1V8_-8	1,98E+00	2,95E-02
25	34	VDD_DPRAM4KX64_IDDQ1V8_-8	1,62E+00	8,97E-01
25	34	VDD_DPRAM4KX64_IDDQ1V8_-8	1,80E+00	1,05E+00
25	34	VDD_DPRAM4KX64_IDDQ1V8_-8	1,98E+00	1,28E+00
25	34	VDD_ROM8KX64_IDDQ1V8_-8	1,62E+00	8,25E-03
25	34	VDD_ROM8KX64_IDDQ1V8_-8	1,80E+00	1,08E-02
25	34	VDD_ROM8KX64_IDDQ1V8_-8	1,98E+00	1,64E-02
25	34	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,62E+00	3,35E-02
25	34	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,80E+00	4,17E-02
25	34	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,98E+00	5,80E-02
25	34	VDD!_SEP_IDDQ1V8_-8	1,62E+00	7,19E-02
25	34	VDD!_SEP_IDDQ1V8_-8	1,80E+00	9,37E-02
25	34	VDD!_SEP_IDDQ1V8_-8	1,98E+00	1,39E-01
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,50E-03
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,60E-03
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,27E-03
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,62E-02
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,09E-02
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,04E-02
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,93E-01
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,06E+00
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,28E+00
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,12E-03
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,08E-02
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,64E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,76E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,66E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,36E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,01E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,12E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,35E-01
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,41E-03
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,67E-03
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,17E-03
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,62E-02
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,09E-02
25	34	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,04E-02
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	9,03E-01
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,05E+00
25	34	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,29E+00
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,17E-03
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,07E-02
25	34	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,63E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,77E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	4,65E-02
25	34	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,37E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,02E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,12E-02
25	34	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,35E-01
25	34	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,36E-03
